shank,sua,cell,odor_count,spike_snr,isolation_distance,l_ratio,good
4,2,0,10,"[0.45613585 0.65124758 1.51845285 4.08509628 3.6410976  1.69110742
 0.9251288  0.78788089]",45.74534606933594,0.06136630102992058,1
4,2,1,10,"[0.38578225 0.47963792 2.31661821 4.78932614 4.09067048 0.84328291
 0.51994908 0.37247269]",37.308380126953125,0.1761525422334671,1
4,2,2,10,"[0.42696744 0.57352994 1.43011915 3.76899378 3.80311946 1.43494601
 0.85357889 0.61593472]",45.285552978515625,0.0758276879787445,1
4,2,3,10,"[0.20922472 0.40516206 0.79166472 3.10691434 4.7738027  1.50821939
 0.69874502 0.34461733]",66.04621887207031,0.00408712774515152,1
4,2,4,10,"[0.33586243 0.58122072 1.34393264 5.75377725 5.89416153 1.83408616
 1.53967098 0.6652641 ]",66.18685913085938,0.0010694406228139997,1
4,2,5,10,"[0.36269874 0.58655866 1.25382152 8.53914981 8.01031237 2.41984144
 1.85707707 0.7248522 ]",121.44355773925781,3.477082145764143e-06,1
4,3,0,10,"[0.51037829 0.65293172 1.72448974 7.15705668 3.61531561 1.06857975
 0.82127167 0.58507332]",38.5364875793457,0.24204175174236298,1
4,3,1,10,"[ 0.80652477  1.56565026  3.19704075 10.07179695  7.13803299  2.21001728
  1.66290689  1.01674354]",28.964033126831055,0.7508144378662109,1
4,3,2,10,"[1.06621354 1.4584202  3.00666687 4.37490418 4.25302637 1.15575923
 0.96752337 0.58064624]",42.5650749206543,0.1058788001537323,1
4,3,3,10,"[0.40953401 0.64184587 1.41193051 4.71004647 5.70708211 1.54564778
 1.27769823 0.94561087]",70.97642517089844,0.002781237941235304,1
4,3,4,10,"[0.31812483 0.40913199 0.93195728 3.59684844 4.09359684 1.13935562
 0.77514326 0.55797341]",31.071352005004883,0.5007058382034302,1
4,3,5,10,"[0.30006244 0.3957692  0.95956464 1.35342037 4.16034131 1.41524165
 1.20188784 0.64262467]",23.218297958374023,1.5721577405929565,1
4,3,6,10,"[0.52608161 0.87709412 1.80587537 5.05130881 3.78569234 2.63941047
 1.20714557 0.98039013]",51.59528350830078,0.016393370926380157,1
4,3,7,10,"[0.49790021 0.60722722 1.54726994 7.78169907 5.48516183 1.48893428
 0.80198469 0.39638151]",37.6200065612793,0.2586226165294647,1
4,3,8,10,"[0.39350682 0.72162302 1.61544962 5.73859139 3.4190404  0.83410143
 0.71773716 0.5881253 ]",34.011863708496094,0.34379592537879944,1
4,3,9,10,"[0.26139697 0.50452448 0.98272681 5.19247198 4.87825691 1.21884318
 0.76280739 0.58771228]",39.86333465576172,0.35644862055778503,1
4,3,10,10,"[0.445232   0.81335834 1.76246765 5.95941464 4.30217664 1.28467171
 1.09325895 0.93036491]",28.268016815185547,0.7620660066604614,1
4,3,11,10,"[0.29809364 0.6002007  1.15227085 6.21835321 3.67527328 1.06890062
 0.65943881 0.44753543]",33.903953552246094,0.42057010531425476,1
4,3,12,10,"[0.49549193 0.66246278 1.66394199 6.25764433 5.10054639 1.60885734
 0.97257977 0.79413462]",63.46083450317383,0.0208116602152586,1
4,3,13,10,"[ 0.59936564  0.91099214  2.2175959   6.23033363 11.71537132  2.00685143
  1.13394763  1.20717544]",50.036930084228516,0.04064689949154854,1
4,3,14,10,"[0.37703483 0.64384132 1.20664693 4.17655114 4.53195062 1.14649819
 0.97925548 1.00099096]",51.34428405761719,0.01703358069062233,1
4,3,15,10,"[0.48245866 0.77042913 1.45550748 4.89480477 4.46821079 1.47286708
 0.96969908 0.92258177]",42.502925872802734,0.07455656677484512,1
4,3,16,10,"[ 0.5355792   0.87025094  2.5477234  10.73921713  5.68812203  1.51328761
  1.27895698  0.96885861]",74.44630432128906,0.0007787690847180784,1
4,3,17,10,"[0.44801142 0.76932863 1.69745742 5.06222514 3.94242247 1.10992252
 0.96707029 0.72761937]",34.1359977722168,0.3578917682170868,1
4,3,18,10,"[0.48824921 0.86013931 1.66840562 5.88574074 5.26101753 1.16064166
 1.0601307  0.86505345]",39.826438903808594,0.17223916947841644,1
4,3,19,10,"[0.49494123 0.68514963 2.07596012 7.61708384 4.08445964 1.3271056
 0.9159614  0.85326154]",28.921003341674805,1.1673192977905273,1
4,3,20,10,"[ 0.64675161  1.23333296  3.36913999 13.9388637   9.12794036  1.85051251
  1.21225734  1.17359617]",159.9811553955078,0.009680257178843021,1
4,3,21,10,"[ 0.63739527  1.3167475   2.500233   10.6893178   8.73938868  2.93384671
  1.48479038  1.27759088]",104.31817626953125,0.0007719360874034464,1
4,3,22,10,"[0.31999669 0.36907317 1.38237305 3.89828127 3.86435988 1.96028453
 1.718913   0.63273046]",42.62803649902344,0.15896204113960266,1
4,3,23,10,"[0.19982854 0.378541   0.65541483 4.11341895 5.10095882 1.45446767
 0.57765641 0.32817404]",48.294151306152344,0.0549338236451149,1
4,3,24,10,"[0.50351524 1.16889126 1.95868849 6.48101141 5.42861424 1.85690696
 1.28532757 0.7956153 ]",25.797828674316406,1.699217438697815,1
4,3,25,10,"[0.53902233 1.19367593 2.47737059 8.93336241 7.19259746 1.332786
 1.11425461 1.02980709]",61.741310119628906,0.005692990962415934,1
4,3,26,10,"[0.63322812 1.09956897 2.36862773 9.20987129 4.39819026 1.330227
 1.01476945 0.89756866]",57.07890701293945,0.037530891597270966,1
4,3,27,10,"[0.57407803 0.88821804 2.24404021 5.46380179 6.30996503 1.8210424
 1.39463831 1.08679276]",70.23129272460938,0.012513618916273117,1
4,3,28,10,"[ 0.44507324  0.98489951  1.95941948 10.7378856   5.74492805  1.28988142
  1.04969561  0.86854015]",117.5576171875,0.008008108474314213,1
4,3,29,10,"[0.41722329 0.76337067 1.63086377 5.16384337 4.24405823 1.12998793
 0.77057939 0.60688639]",47.470985412597656,0.05717260390520096,1
4,3,30,10,"[0.43708627 0.7159826  1.45398916 3.55248731 3.87327957 1.64647043
 0.99965707 0.87718373]",36.2805061340332,0.39114290475845337,1
4,3,31,10,"[0.35933727 0.62225672 1.44876874 3.50020702 2.58864689 1.77711834
 0.74974248 0.64569924]",21.03730583190918,2.407280921936035,1
4,3,32,10,"[0.39763797 0.55715234 1.39231714 2.59040805 6.02528633 1.53859427
 0.90528059 0.72982418]",50.050506591796875,0.042322561144828796,1
4,3,33,10,"[ 0.54041176  0.73620277  2.83605964 10.68643894  5.22722919  1.11160619
  0.70772931  0.5553664 ]",45.24753189086914,0.1092873364686966,1
4,3,34,10,"[ 0.72355395  1.03655714  2.75744396 14.07120925  8.42122883  1.97701742
  1.46666838  1.15306132]",87.33411407470703,4.022743451059796e-05,1
4,3,35,10,"[0.46435477 0.7835354  1.8245295  8.92960927 6.32945699 1.06216061
 0.98027354 0.80627519]",90.83290100097656,0.0032208175398409367,1
4,3,36,10,"[0.23892556 0.42594403 0.84328516 4.01743829 3.01147204 0.74803557
 0.49950604 0.33800472]",40.909156799316406,0.12359533458948135,1
5,0,0,10,"[0.20701638 0.3878212  1.0208723  8.43833356 4.92079675 1.67803402
 0.6148635  0.62790651]",110.0262222290039,0.00012190500274300575,1
5,0,1,10,"[0.76064173 1.12562524 3.07866719 7.07059405 4.30169946 2.12784636
 1.73821383 0.66859745]",21.82963752746582,2.4124698638916016,1
5,2,0,10,"[0.65171578 0.94493024 2.80324131 7.72067996 4.73303931 1.78357067
 1.23923315 0.7312962 ]",42.222007751464844,0.09628525376319885,1
5,2,1,10,"[ 0.85374052  1.28793647  3.12267006 11.09056646  6.35273245  1.6614054
  1.52118526  1.03902496]",80.12840270996094,4.90074344270397e-05,1
5,2,2,10,"[0.23431948 0.46226435 0.71888268 3.53756186 4.76589404 1.60218589
 0.85038057 0.43210635]",58.58207321166992,0.00788806565105915,1
5,2,3,10,"[ 0.75312914  1.19089316  2.97151094 11.37532115 10.4011736   2.33440453
  1.31045976  0.42542661]",54.796409606933594,0.0031136195175349712,1
5,2,4,10,"[0.39152333 0.92223311 1.42314677 4.30432458 2.50611685 0.99444999
 0.61611272 0.5391905 ]",52.672218322753906,0.030921686440706253,1
5,3,0,10,"[0.26797198 0.27492132 0.76939356 2.94794455 3.80574706 1.02497173
 0.75240693 0.45539514]",25.75216293334961,1.4633815288543701,1
5,3,1,10,"[0.5156771  0.78041829 1.71029826 5.88155358 7.63152953 2.17939863
 1.241975   0.8423142 ]",39.79380798339844,0.1572614312171936,1
5,3,2,10,"[0.35105535 0.51474022 1.3022221  5.65938039 5.60663581 1.75837479
 1.3736494  0.68580988]",31.80891227722168,0.4323495626449585,1
5,3,3,10,"[0.61246372 0.76311254 1.92864428 3.50264686 7.29096619 2.25514665
 1.45291527 0.83469369]",49.51192855834961,0.0328109972178936,1
5,3,4,10,"[0.33382286 0.4704073  1.15707508 2.47482583 4.1594621  1.39780468
 0.96422843 0.65563016]",27.984947204589844,0.9881204962730408,1
6,0,0,10,"[0.51279576 0.66221162 2.65879253 6.7643293  3.62257855 1.2616069
 0.79918879 0.6487666 ]",28.750919342041016,1.27542245388031,1
6,0,1,10,"[0.46955155 0.47241675 2.81367568 8.38799512 3.77488774 1.0322964
 0.86068536 0.45061871]",36.67448806762695,0.2048891931772232,1
6,1,0,10,"[0.74405049 0.90550224 5.20332558 7.37104339 2.74312428 0.86089854
 0.66315131 0.49288099]",90.58953094482422,0.0002730640408117324,1
6,2,0,10,"[0.31707204 0.57262143 1.2566966  5.43047171 4.07814144 1.42119218
 0.89782407 0.64798403]",64.0927505493164,0.010430498979985714,1
6,2,1,10,"[0.70452772 1.06995864 2.69112203 6.20207663 3.61155985 1.60459439
 1.3514817  0.75025056]",59.257659912109375,0.03444007784128189,1
6,2,2,10,"[0.37588975 0.51839844 1.19014666 2.8190014  4.10698592 2.21474507
 1.41996922 0.59852724]",62.712806701660156,0.01625303365290165,1
6,2,3,10,"[0.39668441 0.61823594 1.47812469 4.13349448 4.84091092 1.61806219
 0.84871149 0.56641267]",35.526187896728516,0.30228501558303833,1
